R990604,R829866
R552883,R559681
R148549,R576237
R248577,R839431
R898598,R646371
R353078,R797135
R730966,R683325
R548975,R845624
R266119,R498079
R777555,R649484
R638804,R415575
R782717,R738420
R681973,R281361
R564352,R401755
R988180,R250721
R292507,R282493
R129037,R665628
R923249,R430600
R461998,R908503
R809327,R639281
R393040,R805238
R661665,R388819
R114059,R497526
R560938,R721610
R920755,R275344
R805974,R708368
R163480,R422577
R375766,R927690
R958377,R639763
R283414,R277451
R431814,R693907
R161295,R142529
R224755,R376298
R184804,R490260
R767984,R755739
R120488,R896640
R487188,R820613
R183343,R112611
R933630,R552259
R130219,R110586
R128137,R975163
R196108,R834826
R981779,R329704
R344317,R764398
R999538,R870991
R935905,R135587
R933027,R185276
R621681,R795308
R686855,R248958
R773504,R295709
R378257,R496808
R860346,R795968
R893661,R578220
R111494,R278967
R405839,R772938
R960498,R974296
R550983,R703652
R211380,R349277
R532128,R952880
R969017,R693676
R727583,R161267
R814952,R184687
R365837,R408133
R965794,R845789
R977369,R758137
R921416,R387375
R372610,R806763
R163072,R754956
R262703,R276395
R698827,R938701
R355155,R561023
R365243,R671206
R699948,R631410
R251785,R158138
R890291,R103793
R773092,R699771
R376310,R200468
R736125,R373192
R938664,R218232
R483681,R867370
R384112,R910533
R759537,R802725
R182890,R365052
R355577,R558763
R252101,R903639
R361779,R581096
R774034,R593677
R227335,R445793
R389463,R266014
R581264,R997278
R826054,R943321
R790585,R836130
R758668,R401811
R733069,R106348
R678609,R515826
R932792,R840921
R141307,R174313
R733733,R292486
R239015,R636227
R983634,R683192
R622602,R307781
R521344,R863454
R522876,R212547
R329156,R224454
R554471,R468889
R491864,R766361
R969669,R510433
R631539,R650579
R295479,R162358
R711753,R967479
R127033,R103326
R581798,R217974
R672187,R224381
R394390,R450604
R837069,R862378
R135590,R203849
R793466,R447478
R269553,R884639
R901030,R977848
R482105,R282028
R667331,R721912
R262194,R757254
R555210,R719107
R626462,R479233
R365612,R563434
R382675,R263658
R475930,R411008
R720304,R504020
R956560,R365496
R464573,R309527
R893670,R837582
R507408,R888857
R681441,R457128
R382735,R832184
R834581,R891901
R996692,R644856
R223756,R259354
R840043,R911006
R476684,R526712
R319061,R929475
R578640,R934675
R108752,R960222
R472919,R201251
R747735,R273273
R708996,R447680
R159781,R462081
R329170,R786295
R697786,R816571
R994022,R998253
R298942,R473684
R293432,R404996
R924663,R496224
R382342,R684220
R164540,R348938
R540231,R644892
R796646,R121762
R448310,R359686
R493137,R649867
R601481,R744879
R301076,R752828
R572962,R547488
R160792,R968083
R513244,R630777
R851477,R431808
R611410,R808225
R453604,R899419
R733822,R285895
R881858,R646731
R451431,R670508
R261123,R257418
R228888,R418099
R525540,R858454
R496916,R201307
R923121,R455898
R347182,R438708
R850886,R508134
R475281,R405351
R561484,R944603
R808832,R511000
R136650,R508617
R176071,R310602
R789666,R789813
R127249,R557544
R556664,R996371
R247891,R255551
R258542,R940792
R594882,R145224
R896194,R705568
R545089,R774027
R881072,R761035
R223755,R152938
R597319,R226785
R108308,R398776
R278441,R784422
R365555,R228102
R228817,R436119
R657503,R175419
R959391,R517880
R743471,R866092
R192974,R885747
R843003,R440869
R343391,R715835
